ID,year,goldQuill,author1,author2,author3,author4,author5,author6,author7,author8,author9,author10,stateLead,instAuthor1,instAuthor2,instAuthor3,instAuthor4,instAuthor5,instAuthor6,instAuthor7,instAuthor8,instAuthor9,instAuthor10,currentInstAuthor1,currentInstAuthor2,currentInstAuthor3,currentInstAuthor4,currentInstAuthor5,currentInstAuthor6,currentInstAuthor7,currentInstAuthor8,currentInstAuthor9,currentInstAuthor10,Title,Topic,pp
143,2011,0,Hinson,Little,Hood,Owings,Harkess,Black,,,,,LA,Louisiana State,Mississippi State,Mississippi State,Louisiana State,Mississippi State,USDA,,,,,,,,,,,,,,,Estimating the Cost of Producing Selected Ornamental Crops in Plant Hardiness Zones 8 and 9,,
144,2011,0,Straka,Greiner,,,,,,,,,SC,Clemson,Clemson,,,,,,,,,,,,,,,,,,,Contribution of Wildlife to the Value of U.S. Southern Forestland,,
145,2011,0,Duke,Epplin,Vitale,Peel,,,,,,,OK,Oklahoma State,Oklahoma State,Oklahoma State,Oklahoma State,,,,,,,,,,,,,,,,,Forage plus Grain Wheat versus Grain-Only Wheat,,
146,2011,0,Deliberto,Salassi,,,,,,,,,LA,Louisiana State,Louisiana State,,,,,,,,,,,,,,,,,,,Hybrid Rice Production Possibilities in the Southern Rice Producing Region,,
147,2011,0,Howard,Wilson,,,,,,,,,CA,Cal Poly,Cal Poly,,,,,,,,,,,,,,,,,,,What Our Students Should Know: Perspectives from California - Revised,,
148,2011,0,King,Zulauf,,,,,,,,,OH,Ohio State,Ohio State,,,,,,,,,,,,,,,,,,,Using Options: The Role of Declining Time Value,,
149,2011,0,Fisher,,,,,,,,,,NY,private sector,,,,,,,,,,,,,,,,,,,,An Environmental Trade Case Study: Agricultural Conservation Easement Pays Off Environmental Penalty,,
150,2011,0,Altman,Sanders,Johnson,,,,,,,,IL,Southern Illinois,Southern Illinois,Missouri,,,,,,,,,,,,,,,,,,The Local Economic Impacts of Ethanol Plant Expansion: A Missouri Case Study,,
151,2011,0,Escalante,Perkins,Santos,,,,,,,,GA,Georgia,Georgia,private sector,,,,,,,,,,,,,,,,,,When the Seasonal Foreign Farm Workers are Gone ,,
152,2011,0,Park,Vitale,Turner,Stoecker,Hattey,,,,,,TX,Texas A&M,Oklahoma State,Oklahoma State,Oklahoma State,Oklahoma State,,,,,,,,,,,,,,,,Economic Potential of Swine Effluent in Intensified Forage Systems in the Southern Plains ,,
153,2011,0,Theron,Winter,Loomis,Spaulding,,,,,,,IL,Illinois State,Illinois State,Illinois State,Illinois State,,,,,,,,,,,,,,,,,Attitudes Concerning Wind Energy in Central Illinois ,,
154,2011,0,Robertson-Carolan,Parcell,Patterson,Eakins,Franken,,,,,,MO,private sector,Missouri,Missouri,Missouri,Missouri,,,,,,,,,,,,,,,,Valuing Beef Herd Dam Genetic Pedigree Management ,,
155,2011,0,Parcell,Franken,Schafer,Patterson,John,Kerley,Haden,,,,MO,Missouri,Missouri,private sector,Missouri,private sector,Missouri,private sector,,,,,,,,,,,,,,Coordinating Sire Genetics in a Synchronized AI Program,,
156,2011,0,Noland,Norvell,Paulson,Schnitkey,,,,,,,IL,Illinois,Illinois,Illinois,Illinois  ,,,,,,,,,,,,,,,,,The Role of Farmland in an Investment Portfolio: Analysis of Illinois Endowment Farms,,
157,2011,0,Ferrer,Fonsah,Escalante,,,,,,,,GA,Georgia,Georgia,Georgia,,,,,,,,,,,,,,,,,,Risk-Efficient Fumigant-Mulching System Alternatives for Bell Pepper Production,,
158,2010,0,Ginder,Spaulding,Winter,Tudor,,,,,,,IL,Illinois State,Illinois State,Illinois State,Illinois State,,,,,,,,,,,,,,,,,Crop Insurance Purchase Decisions: Study of Northern Illinois Farmers,,
159,2010,0,Govindasamy,VanVranken,Sciarappa,Ayeni,Puduri,Pappas,Simon,Mangan,Lamberts,McAvoy,NJ,Rutgers,Rutgers,Rutgers,Rutgers,Rutgers,private sector,Rutgers,Massachusetts,Florida,Florida,,,,,,,,,,,Consumers’ Shopping Patterns and Expenditures on Ethnic Produce: Case Study from the Eastern Coastal U.S.A. ,,
160,2010,0,Novak,Nadolynyak,,,,,,,,,AL,Auburn,Auburn,,,,,,,,,,,,,,,,,,,Climate Effects on Rainfall Index Insurance Purchase Decisions,,
161,2010,0,Popp,Rupe,Rothrock,,,,,,,,AR,Arkansas,Arkansas,Arkansas,,,,,,,,,,,,,,,,,,Economic Evaluation of Soybean Fungicide Seed Treatments,,
162,2010,0,Susanto,Rosson,Adcock,Anderson,,,,,,,TX,Texas A&M,Texas A&M,Texas A&M,Texas A&M,,,,,,,,,,,,,,,,,Impact of Hired Foreign Labor on Milk Production and Herd Size in the United States,,
163,2010,0,Strauch,Peck,Held,,,,,,,,WY,Wyoming,Wyoming,Wyoming,,,,,,,,UNL,,,,,,,,,,A Case Study of Fall versus Spring Calving for the Rocky Mountain West ,,
164,2010,0,Singleton,Straka,,,,,,,,,SC,private sector,Clemson,,,,,,,,,,,,,,,,,,,Harvest Scheduling as a Timber Appraisal Tool,,
165,2010,0,Mark,Detre,Boehlje,Gray,,,,,,,LA,Louisiana State,Louisiana State,Purdue,Purdue,,,,,,,,,,,,,,,,,Is Growing Livestock Inventories a Sustainable Initiative Given Phosphorus Crop Removal Regulations ,,
166,2010,0,Park,Richardson,Gilliland,,,,,,,,TX,Texas A&M,Texas A&M,Texas A&M,,,,,,,,,,,,,,,,,,Effect of IRC Code 1031 on Texas Agricultural Land Price,,
167,2010,0,Detre,Mishra,Adhikari,,,,,,,,LA,Louisiana State,Louisiana State,Louisiana State,,,,,,,,,,,,,,,,,,Factors Affecting the Adoption of Genetically Modified Crops by Young and Beginning U.S. Farmers and Ranchers,,
168,2010,0,Riley,Anderson,,,,,,,,,MS,Mississippi State,Mississippi State,,,,,,,,,,,,,,,,,,,Comparison of Hedging Cost with Other Variable Input Costs,,
169,2010,0,Alexander,Patrick,,,,,,,,,IN,Purdue,Purdue,,,,,,,,,,,,,,,,,,,"Large-Scale Producers’ Perceptions of, and Managerial Responses to, Increased Volatility ",,
170,2010,0,Gueck,Klose,Jones,Yates,,,,,,,TX,Texas A&M,Texas A&M,Texas A&M,Texas A&M,,,,,,,,,,,,,,,,,Examining Share Lease Arrangements for Grain Operations in theTexas Panhandle Under Changing Market Conditions,,
171,2010,0,Dubiansky,,,,,,,,,,GA,private sector,,,,,,,,,,,,,,,,,,,,A View Toward Sound Policy Initiatives Regarding Agricultural Alternative Fuels,,
172,2010,0,Griffin,Baird,,,,,,,,,AR,Arkansas,private sector,,,,,,,,,KSU,,,,,,,,,,Conveying the Role of Professional Farm Managers to Potential Clientele,,
173,2010,0,Miller,Barnard,Brown,Duckworth,Wheeling,Whittman,,,,,IN,Purdue,Purdue,private sector,private sector,Montana,private sector,,,,,,,,,,,,,,,Farm Enterprise Analysis: Has It Lost Its Usefulness?,,
174,2010,0,Barnard,Ellinger,Wilson,,,,,,,,IN,Purdue,Illinois,Kansas State,,,,,,,,,,,,,,,,,,Measurement Issues in Assessing Farm Profitability through Cash Tax Returns ,,
175,2010,0,Paulson,Schnitkey,,,,,,,,,IL,Illinois,Illinois,,,,,,,,,,,,,,,,,,,Expected Payments and Considerations for the New ACRE Program,,
176,2010,0,Ibendahl,,,,,,,,,,MS,Mississippi State,,,,,,,,,,KSU,,,,,,,,,,A Partial Budget Approach to Estimating Cash Rents,,
177,2010,0,Atkinson,Sanders,Jones,Altman,,,,,,,IL,Southn Illinois,Southn Illinois,Southn Illinois,Southn Illinois,,,,,,,,,,,,,,,,,An Evaluation of Purebred Bull Pricing: Implications for Beef Herd Management,,
178,2010,0,Ritten,Bastian,Paisley,Smith,,,,,,,WY,Wyoming,Wyoming,Wyoming,Wyoming,,,,,,,,,,,,,,,,,Long Term Comparison of Alternative Range Livestock Management Strategies Across Extended Droughts and Cyclical Prices,,
179,2010,0,Ibendahl,Halich,,,,,,,,,MS,Mississippi State,Kentucky,,,,,,,,,KSU,,,,,,,,,,How to Estimate Custom Machinery Rates,,
180,2009,0,Wild,,,,,,,,,,AK,private sector,,,,,,,,,,,,,,,,,,,,What Drives Land Prices in Your Market? The Use of Multiple Regression Analysis to Confirm the Significance of Determinative Real Estate Value Elements,,
181,2009,0,Biermacher,Coffey,Cook,Childs,Johnson,Ford,,,,,OK,private sector,private sector,private sector,private sector,private sector,private sector,,,,,,,,,,,,,,,Economic Advantage of No-Tilling Winter Forages for Stocker Grazing,,
182,2009,0,Griffin,,,,,,,,,,AR,Arkansas,,,,,,,,,,,,,,,,,,,,Acquiring and Applying Days Suitable for Fieldwork for your State,,
183,2009,0,Salassi,Deliberto,Webster,,,,,,,,LA,Louisiana State,Louisiana State,Louisiana State,,,,,,,,,,,,,,,,,,Enterprise Cost Assignment and Land Tenure Implications in Crop Rotation Systems: A Rice/Crawfish Rotation Case Study,,
184,2009,0,Straka,,,,,,,,,,SC,Clemson,,,,,,,,,,,,,,,,,,,,Appraising Damaged Timber,,
185,2009,0,Lewton,Krall,Hess,Held,,,,,,,WY,Wyoming,Wyoming,Wyoming,Wyoming,,,,,,,,,,,,,,,,,"Substituting Medic, an Annual Legume, in Place of Summer Fallow for Winter Wheat Production",,
186,2009,0,Ribera,McCarl,Zenteno,,,,,,,,TX,Texas A&M,Texas A&M,Texas A&M,,,,,,,,,,,,,,,,,,Carbon Sequestration: a Potential Source of Income for Farmers,,
187,2009,0,Williams,Pendell,Llewelyn,Peterson,Nelson,,,,,,KS,Kansas State,Kansas State,Kansas State,Kansas State,Kansas State,,,,,,,,,,,,,,,,Returns to Tillage Systems under Changing Input and Output Market Conditions,,
188,2009,0,Briggeman,Boehlje,,,,,,,,,MO,private sector,Purdue,,,,,,,,,KSU,,,,,,,,,,Cash is King · But Profitability is the Kingdom!,,
189,2009,0,Guiling,Doye,Brorsen,,,,,,,,MO,Oklahoma State,Oklahoma State,Oklahoma State,,,,,,,,,,,,,,,,,,Why Has the Price of Pasture Increased Relative to the Price of Cropland?,,
190,2009,0,Yeager,Langemeier,,,,,,,,,KS,Kansas State,Kansas State,,,,,,,,,,Purdue,,,,,,,,,Measuring Sustained Competitive Advantage for a Sample of Kansas Farms,,
191,2009,0,Flanders,Smith,Fonsah,McKissick,,,,,,,AR,Arkansas,Georgia,Georgia,Georgia,,,,,,,,,,,,,,,,,Simulation Analysis of Double-Cropping Vegetables and Field Crops,,
192,2009,0,Sanders,Altman,Manfredo,Anderson,,,,,,,IL,Southern Illinois,Southern Illinois,Arizona State,Southern Illinois,,,,,,,,,,,,,,,,,Using USDA Production Forecasts: Adjusting for Smoothing,,
193,2009,0,Hignight,Watkins,Anders,,,,,,,,AR,Arkansas,Arkansas,Arkansas,,,,,,,,,,,,,,,,,,Economic Analysis of Zero-Grade Rice and Land Tenure,,
194,2009,0,Bastian,Ponnamaneni,Mooney,Ritten,Frasier,Paisley,Smith,Umberger,,,WY,Wyoming,Wyoming,Boise State,Wyoming,Colorado State,Wyoming,Wyoming,Adelaide,,,,,,,,,,,,,Range Livestock Strategies Given Extended Drought and Different Price Cycles,,
195,2009,0,Burton,Smith,Schlegel,,,,,,,,KS,Kansas State,Kansas State,Kansas State,,,,,,,,,,,,,,,,,,"Economics of Reduced-Till, No-Till and Opportunity Cropping in Western Kansas",,
196,2009,0,Mooney,Larson,Roberts,English,,,,,,,TN,Tennessee,Tennessee,Tennessee,Tennessee,,,,,,,,,,,,,,,,,When Does Variable Rate Technology for Agricultural Sprayers Pay? A Case Study for Cotton Production in Tennessee,,
197,2009,0,Hubbs,Bista,Preckel,Richert,,,,,,,IN,Purdue,Purdue,Purdue,Purdue,,,,,,,,,,,,,,,,,Valuing Dried Distillers Grains with Solubles for Use in Swine Diets,,
198,2009,0,Gillespie,Mark,Sandretto,Nehring,,,,,,,LA,Louisiana State,Louisiana State,USDA,USDA,,,,,,,,,,,,,,,,,Computerized Technology Adoption Among Farms in the U.S. Dairy Industry,,
199,2009,0,Klonsky,,,,,,,,,,CA,California Davis,,,,,,,,,,,,,,,,,,,,The Economic Impact of Rising Input Prices on California Agriculture,,
200,2008,0,Altman,Boessen,Sanders,,,,,,,,IL,Southern Illinois,Missouri,Southern Illinois,,,,,,,,,,,,,,,,,,Contracting for Biomass: Supply Chain Strategies for Renewable Energy,,
201,2008,0,Altman,Sanders,Schneider,,,,,,,,IL,Southern Illinois,Southern Illinois,Southern Illinois,,,,,,,,,,,,,,,,,,Producer-Level Hedging Effectiveness of Class III Milk Futures,,
202,2008,0,Grisham,Gillespie,,,,,,,,,LA,Louisiana State,Louisiana State,,,,,,,,,,,,,,,,,,,Record-Keeping Technology Adoption among Dairy Farmers ,,
203,2008,0,Eberle,Wallace,,,,,,,,,IL,Southern Illinois,Southern Illinois,,,,,,,,,,,,,,,,,,,Recreational Leases as Means to Increase Landowner Income,,
204,2008,0,DeVuyst,DeVuyst,,,,,,,,,ND,North Dakota State,North Dakota State,,,,,,,,,,,,,,,,,,,The Impact of Beef Price and Hunting Pressure on Pasture Values in North Dakota ,,
205,2008,0,Guither,,,,,,,,,,IL,Illinois,,,,,,,,,,,,,,,,,,,,Starting an Independent Rural Appraisal Business ,,
206,2008,0,Schmitz,Schultz,,,,,,,,,MN,Nebraska Omaha,Nebraska Omaha,,,,,,,,,,,,,,,,,,,The Impact of the Conservation Reserve Program on the Sale Price of Agricultural Land ,,
207,2008,0,Guither,,,,,,,,,,IL,Illinois,,,,,,,,,,,,,,,,,,,,Starting an Independent Rural Appraisal Business ,,
208,2008,0,Doye,Popp,West,,,,,,,,OK,Oklahoma State,Arkansas,Arkansas,,,,,,,,,,,,,,,,,,Controlled versus Continuous Calving Seasons in the South: What’s at Stake? ,,
209,2008,0,Klonsky,Hasey,DeMoura,,,,,,,,CA,California Davis,California Davis,California Davis,,,,,,,,,,,,,,,,,,The Economic Viability of Orchard Production on Small Acreage,,
210,2008,0,Hawkes,Libbin,Jones,,,,,,,,NM,New Mexico State,New Mexico State,,,,,,,,,,,,,,,,,,,Chile Production in New Mexico and Northern Mexico ,,
211,2008,0,Painter,,,,,,,,,,Canada,Saskatchewan,,,,,,,,,,,,,,,,,,,,Is Canadian Farmland Overpriced? ,,
212,2007,0,Raulston,Klose,Outlaw,Richardson,,,,,,,TX,Texas A&M,Texas A&M,Texas A&M,Texas A&M,,,,,,,,,,,,,,,,,The Impact of Increased Planting Flexibility on Planting Decisions Across Texas ,,
213,2007,0,Deliberto,Salassi,Paxton,,,,,,,,LA,Louisiana State,Louisiana State,Louisiana State,,,,,,,,,,,,,,,,,,Fuel and Fertilizer Price Impacts on Crop Mix and Returns in the Louisiana Delta,,
214,2007,0,Burton,Key,Schurle,Regehr,,,,,,,KS,Kansas State,Kansas State,Kansas State,Kansas State,,,,,,,,,,,,,,,,,Economic Analysis of Avoiding a Potential Health Hazard on an Individual Farm ,,
215,2007,0,Beasley,Nelson,Stroschein,Hamilton,,,,,,,ID,Idaho,Idaho,Idaho,Idaho,,,,,,,,,,,,,,,,,"Determinants of Farmland Values In the Rapidly Developing Boise, Idaho Metro Area: Applying Mathematical Modeling to Highest and Best Use Analysis ",,
216,2007,0,Fausti,Landblom,Johnson,Beutler,Gates,Salverson,Patterson,Paisley,,,SD,South Dakota State,North Dakota State,South Dakota State,South Dakota State,South Dakota State,South Dakota State,South Dakota State,Wyoming,,,,,,,,,,,,,The Effect of Early versus Normal Calf Weaning on Feedlot Performance and Herd Management: A Northern Plains Case Study ,,
217,2007,0,Shultz,,,,,,,,,,NE,Nebraska,,,,,,,,,,,,,,,,,,,,Non-Local Purchases of Agricultural Land for Hunting Purposes ,,
218,2007,0,Straka,,,,,,,,,,SC,Clemson,,,,,,,,,,,,,,,,,,,,Valuation of Bare Forestland and Premerchantable Timber Stands in Forestry Appraisal,,
219,2007,0,Fonsah,Hudgins,,,,,,,,,GA,Georgia,,,,,,,,,,,,,,,,,,,,Financial and Economic Analysis of Producing Commercial Tomatoes for Fresh Market in Georgia ,,
220,2007,0,Libbin,Erickson,Bulllock,,,,,,,,NM,New Mexico State,New Mexico State,New Mexico State,,,,,,,,,,,,,,,,,,Real Estate Appraisers Who Share Sales Information: Are Appraisers Unique or Just Weird? ,,
221,2007,0,Mishra,Osta,,,,,,,,,DC,USDA,USDA,,,,,,,,,,,,,,,,,,,Factors Affecting Succession Decisions in Family Farm Businesses: Evidence from a National Survey,,
222,2007,0,Dalsted,Sharp,Tranel,Pritchett,,,,,,,CO,Colorado State,Colorado State,Colorado State,Colorado State,,,,,,,,,,,,,,,,,Investment Analysis—Purchasing Cows and Heifers in a Strong Cattle Market ,,
223,2007,0,Ellinger,Barnard,Wilson,,,,,,,,IL,Illinois,Purdue,Purdue,,,,,,,,,,KSU,,,,,,,,Financial Stages of a Farmer’s Life: Effects on Credit Analysis Measures ,,
224,2007,0,Takele,Mauk,Sharabeen,,,,,,,,CA,California Davis,California Davis,California Davis,,,,,,,,,,,,,,,,,,An Agricultural Survey Assesses Clientele Program Needs,,
225,2007,0,Wilson,Barnard,Boehlje,,,,,,,,IN,Purdue,Purdue,Purdue,,,,,,,,KSU,,,,,,,,,,A Financial Analysis Program That Will PASS the Farm Manager “Interest Test” ,,
226,2007,0,Taulealea,Held,Stevens,Bradley,,,,,,,WY,Wyoming,Wyoming,USDA ARS,Wyoming,,,,,,,,,,,,,,,,,Precision Fertilization of Wyoming Sugar Beets: A Case Study ,,
227,2007,0,Ward,Ratcliff,Lalman,,,,,,,,OK,Oklahoma State,Oklahoma State,Oklahoma State,,,,,,,,,,,,,,,,,,Price Premiums from a Certified Feeder Calf Preconditioning Program ,,
228,2007,0,Taylor,Epplin,Peel,Horn,,,,,,,OK,Oklahoma State,Oklahoma State,Oklahoma State,Oklahoma State,,,,,,,,,,,,,,,,,Value of an Extended Grazing Season and Value of Monensin Supplements for Stocker Cattle Grazing Winter Wheat Pasture ,,
229,2007,0,Dodson,Koenig,,,,,,,,,DC,USDA,USDA,,,,,,,,,,,,,,,,,,,Facilitating Beginning Farmers Purchase of Farmland ,,
230,2007,0,Schoney,,,,,,,,,,Canada,Saskatchewan,,,,,,,,,,,,,,,,,,,,"An Economic Study of Loss of Use of Indian Lands: A Case Study of Saskatchewan, Canada ",,
231,2006,0,Trede,,,,,,,,,,IA,Iowa State,,,,,,,,,,,,,,,,,,,,ASFMRA Chapter Strategic Planning: Iowa Chapter Case Study ,,
232,2006,0,Highmoor,Schmitz,Brown,Rosaasen,,,,,,,Canada,private sector,Saskatchewan,Saskatchewan,Florida,,,,,,,,,,,,,,,,,"Cow-calf Expansion with the Removal of Transportation Subsidies in East Central Saskatchewan, Canada ",,
233,2006,0,Flaskerud,,,,,,,,,,ND,North Dakota State,,,,,,,,,,,,,,,,,,,,Field Pea and Lentil Marketing Strategies for Northern Plains Producers,,
234,2006,0,Fort,Parcell,,,,,,,,,MO,Missouri,Missouri,,,,,,,,,,,,,,,,,,,A Case Study on the Impact of an Ethanol Plant on Corn Price ,,
235,2006,0,Byrd,Escalante,Fonsah,Wetzstein,,,,,,,GA,Georgia,Georgia,Georgia,Georgia,,,,,,,,,,,,,,,,,Financial Efficiency of Methyl Bromide Alternatives for Georgia’s Bell Pepper Industries ,,
236,2006,0,Painter,,,,,,,,,,Canada,Saskatchewan,,,,,,,,,,,,,,,,,,,,The Financial Benefits to Investors in a Canadian Farmland Mutual Fund ,,
237,2006,0,Stringer,Sanders,,,,,,,,,IL,Southern Illinois,Southern Illinois,,,,,,,,,,,,,,,,,,,Forward Contracting Costs for Illinois Corn and Soybeans: Implications for Producer Pricing Strategies ,,
238,2006,0,Dowell,,,,,,,,,,IL,private sector,,,,,,,,,,,,,,,,,,,,Developing Insurance Protection for Stored Grain ,,
239,2006,0,Langemeier,Bradford,,,,,,,,,KS,Kansas State,private sector,,,,,,,,,Purdue,,,,,,,,,,An Examination of the Relationship Between Overall Inefficiency and Farm Characteristics ,,
240,2006,0,Ervin,Patterson,Herring,,,,,,,,NM,Eastern New Mexico,private sector,Texas A&M,,,,,,,,,,,,,,,,,,Packer versus Feeder Cattle Live Animal Value Based on Phenotypic Characteristics ,,
241,2006,0,Villatoro,Langemeier,,,,,,,,,KS,Kansas State,Kansas State,,,,,,,,,,,,,,,,,,,Factors Impacting Farm Growth ,,
242,2006,0,Straka,Bullard,,,,,,,,,SC,Clemson,Kentucky,,,,,,,,,,,,,,,,,,,An Appraisal Tool for Valuing Forest Lands ,,
243,2006,0,Pendell,Williams,Sweeney,Nelson,Rice,,,,,,KS,Kansas State,Kansas State,Kansas State,Kansas State,Kansas State,,,,,,,,,,,,,,,,Economic Feasibility of Carbon Sequestration with Alternative Tillage Systems ,,
244,2006,0,Batte,,,,,,,,,,OH,Ohio State,,,,,,,,,,,,,,,,,,,,Shopping at the Farm Office: What is the Future of Farm e-Commerce? ,,
245,2006,0,Gandonou,Dillon,Shearer,Stombaugh,,,,,,,KY,Kentucky,Kentucky,Kentucky,Kentucky,,,,,,,,,,,,,,,,,Precision Agriculture Equipment Ownership versus Custom Hire: A Break-even Land Area Analysis ,,
246,2006,0,Fonsah,Harrison,Foster,,,,,,,,GA,Georgia,Georgia,Georgia,,,,,,,,,,,,,,,,,,"Status of Irrigation Water Use on Pecans in Georgia: Lesson for Growers, Extension Specialists, Extension Agents, Professional Farm Managers, and Appraisers",,
247,2006,0,Eberle,Moody,Rendleman,Peterson,,,,,,,IL,Southern Illinois,private sector,Southern Illinois,Southern Illinois,,,,,,,,,,,,,,,,,Impact of Milk Income Loss Contract (MILC) and Section 179 Expensing on Rates of Return for Alternative Dairy Systems,,
248,2006,0,Fleming,Claypool,Miller,Held,,,,,,,WY,Wyoming,Wyoming,Wyoming,Wyoming,,,,,,,,,,,,,,,,,Precision Application of Herbicide for Control of Skeletonleaf Bursage in Winter Wheat ,,
249,2006,0,Boom,Phillips,Urey,,,,,,,,CA,Cal Poly,Cal Poly,Cal Poly,,,,,,,,,,,,,,,,,,Strategies for Dairy Farm Preservation ,,
250,2006,0,Shultz,,,,,,,,,,NE,Nebraska,,,,,,,,,,,,,,,,,,,,Differences Between Agricultural Land Value Surveys and Market Sales,,
251,2005,0,Micheels,Barry,,,,,,,,,IL,Illinois,Illinois,,,,,,,,,,,,,,,,,,,How Midwestern Farmers Rate Risk Management Practices,,
252,2005,0,Bernardo,Kastens,Mulik,,,,,,,,KS,Kansas State,Kansas State,North Dakota State,,,,,,,,,private sector,,,,,,,,,Are Large Farms More or Less Environmentally Friendly?,,
253,2005,0,Ross,Barry,,,,,,,,,IL,Illinois,Illinois,,,,,,,,,,,,,,,,,,,Contract Hog Production: A Case Study of Financial Arrangements ,,
254,2005,0,Gustafson,Saxowsky,,,,,,,,,ND,North Dakota State,North Dakota State,,,,,,,,,,,,,,,,,,,Breached Bio-Security at the Farm Gate: A Minnesota Dairy Case Study of Criminal Activity ,,
255,2005,0,Swenson,,,,,,,,,,WI,private sector,,,,,,,,,,,,,,,,,,,,Two Philosophies of Value,,
256,2005,0,Sutton,Klein,Taylor,,,,,,,,MN,private sector,South Dakota State,South Dakota State,,,,,,,,,,,,,,,,,,"A Comparative Analysis of Soybean Production Between the United States, Brazil, and Argentina ",,
257,2005,0,Sanders,Apgar,Manfredo,,,,,,,,IL,Southern Illinois,Southern Illinois,Arizona State,,,,,,,,,,,,,,,,,,Using Farm-Level Data to Improve Marketing and Planning: An Illustration with Live Hogs,,
258,2005,0,Kalous,Dhuyvetter,Kastens,,,,,,,,CO,Kansas State,Kansas State,Kansas State,,,,,,,,,private sector,private sector,,,,,,,,A Case Study of a Market Advisory Service’s Performance in Marketing Hard Red Winter Wheat in Kansas ,,
259,2005,0,Prevatt,Yeager,Young,Simpson,Pepper,,,,,,AL,Auburn,Auburn,Auburn,Auburn,Auburn,,,,,,,,,,,,,,,,An Investment Analysis Of A Southern Mixed Enterprise Farm: Broilers and Silvopasture ,,
260,2005,0,Epplin,Stock,Kletke,Peeper,,,,,,,OK,Oklahoma State,Oklahoma State,Oklahoma State,Oklahoma State,,,,,,,,,,,,,,,,,Cost of Conventional Tillage and No-till Continuous Wheat Production for Four Farm Sizes ,,
261,2005,0,Helmers,Shaik,Johnson,,,,,,,,NE,Nebraska,Mississippi State,Nebraska,,,,,,,,,,,,,,,,,,Forecasting Agricultural Land Values in the Midwest States,,
262,2005,0,Flaskerud,,,,,,,,,,ND,North Dakota State,,,,,,,,,,,,,,,,,,,,Price Risk Management Strategies for Sunflowers ,,
263,2005,0,Lilywhite,Hawkes,Libbin,Herbon,,,,,,,NM,New Mexico State,New Mexico State,New Mexico State,New Mexico State,,,,,,,,,,,,,,,,,Economic Return to Adoption of Mechanical Thinning: The Case of New Mexico Chile,,
264,2005,0,Duffy,Holste,,,,,,,,,IA,Iowa State,Iowa State,,,,,,,,,,,,,,,,,,,Estimated Returns to Iowa Farmland,,
265,2005,0,Shultz,Pool,,,,,,,,,NE,Nebraska,Colorado State,,,,,,,,,,,,,,,,,,,The Impact of Combined Grass and Wetland Easements on Agricultural Land Values in South Dakota,,
266,2005,0,Butt,McCarl,,,,,,,,,TX,Texas A&M,Texas A&M,,,,,,,,,,,,,,,,,,,Implications of Carbon Sequestration for Landowners ,,
267,2004,0,Adrian,Cain,Duffy,Guertal,Prevatt,,,,,,AL,Auburn,Auburn,Auburn,Auburn,Auburn,,,,,,,,,,,,,,,,Turfgrass – Sod Production: An Economic Evaluation,,
268,2004,0,Dodson,,,,,,,,,,,private sector,,,,,,,,,,,,,,,,,,,,Farmland Ownership Transitions,,
269,2004,0,Davis,Gilespie,,,,,,,,,DC,USDA,Louisiana State,,,,,,,,,,,,,,,,,,,Attitudes and Characteristics of U.S. Hog Producers Under Alternative Business Arrangements,,
270,2004,0,Eberle,McDaniel,Beaulieu,Young,,,,,,,IL,Southern Illinois,Southern Illinois,Southern Illinois,Southern Illinois,,,,,,,,,,,,,,,,,Is Soft Red Winter Wheat Production Competitive with a Corn-Soybean Rotation? ,,
271,2004,0,Escalante,Barry,,,,,,,,,GA,Georgia,Illinois,,,,,,,,,,,,,,,,,,,Growth-Enhancing Capital and Operating Plans of Small and Large Grain Farms ,,
272,2004,0,Thilmany,,,,,,,,,,CO,Colorado State,,,,,,,,,,,,,,,,,,,,Agricultural Worker Trends and Issues in the Mountain West,,
273,2004,0,Bigge,Langemeier,,,,,,,,,KS,Kansas State,Kansas State,,,,,,,,,,Purdue,,,,,,,,,Relative Profitability and Risk of Kansas Farms and S&P 500 ,,
274,2004,0,Phillips,Peterson,,,,,,,,,CA,Cal Poly,Michigan State,,,,,,,,,,,,,,,,,,,Product Differentiation and Target Marketing by Agricultural Producers ,,
275,2004,0,Flaskerud,,,,,,,,,,ND,North Dakota State,,,,,,,,,,,,,,,,,,,,Thoughts on Implications of Brazilian Soybean Production on Selected States,,
276,2004,0,Libbin,Kohler,Hawkes,,,,,,,,NM,New Mexico State,private sector,New Mexico State,,,,,,,,,,,,,,,,,,Does Modern Portfolio Theory Apply to Agricultural Land Ownership? Concepts for Farmers and Farm Managers,,
277,2004,0,Libbin,Kohler,Hawkes,,,,,,,,NM,New Mexico State,private sector,New Mexico State,,,,,,,,,,,,,,,,,,Financial and Real Estate Investments in Mixed-Asset Agricultural Portfolios,,
278,2004,0,Batte,,,,,,,,,,OH,Ohio State,,,,,,,,,,,,,,,,,,,,Computer Adoption and Use by Ohio Farmers,,
279,2004,0,Painter,,,,,,,,,,Canada,Saskatchewan,,,,,,,,,,,,,,,,,,,,The Impact of Political and Economic Culture on Farmland Values in Western Canada,,
280,2004,0,Young,Wailes,Popp,Smartt,,,,,,,AR,Arkansas,Arkansas,Arkansas,Arkansas,,,,,,,,,,,,,,,,,Value of Water Conservation Improvements on Arkansas Rice Farms ,,
